horse_microchip,horse_name,horse_slug,owner_name,trainer_name,trainer_stable,trainer_location,lease_period_months,lease_start_date,leasehold_stake_pct,investor_return_pct,syndicate_price_nzd,shares_total,shares_sold,price_per_share_nzd,listing_status,marketplace_visible,image_path,story,pedigree,wins,placed,next_up
985125000126462,Prudentia,prudentia,B.A.X Bloodstock,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,36,2024-12-01,100,80,150000,100,23,1500,active,TRUE,/images/content/stables/prudentia-action.png,An exciting filly that has already returned returns to investors. Much more to come from her this winter.,Mare / Bay / Proisir (AUS) x Little Bit Irish (NZ),2,4,23 June
985125000139165,Hottathanafantasy,hottathanafantasy,B.A.X Bloodstock,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,36,2025-06-01,100,80,150000,100,0,1500,active,TRUE,/images/content/horses/Hottathan-BG.png,An elite international pedigree showing immense maturity in pre-training. A sharp sprinter in the making.,Filly / Bay / Contributer x Whiffle,0,0,TBD
985125000126713,First Gear,first-gear,Stephen Grey Racing,Stephen Gray,Stephen Gray Racing,Palmerston North NZ,36,2025-06-01,100,80,150000,100,0,1500,active,TRUE,/images/content/horses/FirstGear-BG.png,An impressive pedigree showing great progress in early education. Currently in pre-training under Stephen Gray.,Gelding / Bay / Derryn x A'Guin Ace,0,0,TBD
985125000139219,I Stole A Manolo,i-stole-a-manolo,B.A.X Bloodstock,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,36,2025-06-01,100,80,150000,100,0,1500,active,TRUE,/images/content/horses/IStole-BG.png,A stylish bay filly with a pedigree suggesting middle-distance strength. Currently spelling after early breaking-in.,Filly / Bay / Satono Aladdin x Canuhandleajandal,0,0,Trial (Sep)
