name,slug,microchip,life_number,loveracing_id,foaling_date,sex,colour,sire_name,dam_name,breeder,status,image_path,story,trainer_name,trainer_stable,trainer_location,wins,placed,next_up
Prudentia,prudentia,985125000126462,NZ00427416,427416,2021-11-01,mare,Bay,Proisir (AUS) 2009,Little Bit Irish (NZ) 2012,Goldeye Trust,active,/images/content/stables/prudentia-action.png,An exciting filly that has already returned returns to investors. Much more to come from her this winter.,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,2,4,23 June
Hottathanafantasy,hottathanafantasy,985125000139165,NZ00452052,452052,2022-11-01,filly,Bay,Contributer,Whiffle,Goldeye Trust,active,/images/content/horses/Hottathan-BG.png,An elite international pedigree showing immense maturity in pre-training. A sharp sprinter in the making.,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,0,0,TBD
First Gear,first-gear,985125000126713,NZ00428364,428364,2020-11-01,gelding,Bay,Derryn,A'Guin Ace,Stephen Grey Racing,active,/images/content/horses/FirstGear-BG.png,An impressive pedigree showing great progress in early education. Currently in pre-training under Stephen Gray.,Stephen Gray,Stephen Gray Racing,Palmerston North NZ,0,0,TBD
I Stole A Manolo,i-stole-a-manolo,985125000139219,NZ00451442,451442,2022-11-01,filly,Grey,Satono Aladdin,Canuhandleajandal,Goldeye Trust,active,/images/content/horses/IStole-BG.png,A stylish grey filly with a pedigree suggesting middle-distance strength. Currently spelling after early breaking-in.,Lance O'Sullivan & Andrew Scott,Wexford Stables,Matamata NZ,0,0,Trial (Sep)
